/* Field profile:
/*    z Bz(axis)    rFT Bz(rmax)   rout Bz(rmax)
 0.7826 0.159698 0.0949 0.159505 0.1424 0.159278
 0.7876 0.159622 0.0949 0.159435 0.1424 0.159215
 0.7926 0.159548 0.0950 0.159367 0.1425 0.159154
 0.7976 0.159476 0.0950 0.159301 0.1425 0.159094
 0.8026 0.159406 0.0950 0.159236 0.1425 0.159036
 0.8076 0.159338 0.0950 0.159173 0.1426 0.158980
 0.8126 0.159272 0.0950 0.159112 0.1426 0.158924
 0.8176 0.159207 0.0950 0.159053 0.1426 0.158871
 0.8226 0.159145 0.0951 0.158995 0.1426 0.158819
 0.8276 0.159084 0.0951 0.158939 0.1427 0.158768
 0.8326 0.159024 0.0951 0.158884 0.1427 0.158718
 0.8376 0.158967 0.0951 0.158830 0.1427 0.158670
 0.8426 0.158911 0.0951 0.158778 0.1427 0.158622
 0.8476 0.158856 0.0952 0.158728 0.1428 0.158577
 0.8526 0.158803 0.0952 0.158679 0.1428 0.158532
 0.8576 0.158751 0.0952 0.158630 0.1428 0.158488
 0.8626 0.158700 0.0952 0.158584 0.1428 0.158445
 0.8676 0.158651 0.0952 0.158538 0.1428 0.158404
 0.8726 0.158604 0.0952 0.158494 0.1429 0.158363
 0.8776 0.158557 0.0952 0.158450 0.1429 0.158324
 0.8826 0.158512 0.0953 0.158408 0.1429 0.158285
 0.8876 0.158467 0.0953 0.158367 0.1429 0.158248
 0.8926 0.158424 0.0953 0.158327 0.1429 0.158211
 0.8976 0.158382 0.0953 0.158288 0.1429 0.158175
 0.9026 0.158341 0.0953 0.158249 0.1430 0.158140
 0.9076 0.158302 0.0953 0.158212 0.1430 0.158106
 0.9126 0.158263 0.0953 0.158176 0.1430 0.158073
 0.9176 0.158225 0.0953 0.158141 0.1430 0.158041
 0.9226 0.158188 0.0953 0.158106 0.1430 0.158009
 0.9276 0.158152 0.0954 0.158072 0.1430 0.157978
 0.9326 0.158117 0.0954 0.158040 0.1431 0.157948
 0.9376 0.158082 0.0954 0.158007 0.1431 0.157918
 0.9426 0.158049 0.0954 0.157976 0.1431 0.157889
 0.9476 0.158016 0.0954 0.157946 0.1431 0.157861
 0.9526 0.157985 0.0954 0.157916 0.1431 0.157834
 0.9576 0.157954 0.0954 0.157887 0.1431 0.157807
 0.9626 0.157923 0.0954 0.157858 0.1431 0.157781
 0.9676 0.157894 0.0954 0.157830 0.1432 0.157755
 0.9726 0.157865 0.0954 0.157803 0.1432 0.157730
